,,,,,,,Daily Price Arrival Report-30-11-2025 to 10-06-2026 for Multiple States,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,61.20,Metric Tonnes,23-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,191.00,Metric Tonnes,22-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,98.00,Metric Tonnes,22-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,151.70,Metric Tonnes,21-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,146.40,Metric Tonnes,21-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,420.30,Metric Tonnes,20-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,229.00,Metric Tonnes,20-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,313.10,Metric Tonnes,19-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,35.70,Metric Tonnes,19-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,161.60,Metric Tonnes,18-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,386.00,Metric Tonnes,18-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,147.50,Metric Tonnes,17-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,44.40,Metric Tonnes,16-12-2025
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,244.60,Metric Tonnes,16-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,230.90,Metric Tonnes,15-04-2026
